Seq_name	Read1	Read2	Instrument_run	ID_sample	Bldg_loc_ID	Bldg_ID	Temp_degC	pH	Hardness	CFU_L	Country	City	Season_year	Time_point	Building_type	Location_in_building
21	21_V3V4_FWD.fastq.gz	21_V3V4_REV.fastq.gz	DE18INS60512_124	HO-HRW	A_B3_HRW	A_B3	30.8	NA	NA	12	Greece	Athens	Winter2017	2017-01	Hospital	HRW
22	22_V3V4_FWD.fastq.gz	22_V3V4_REV.fastq.gz	DE18INS60512_124	HO_FPB	A_B3_FPB	A_B3	25.1	7.7	142	150000	Greece	Athens	Winter2017	2017-01	Hospital	FPB
182	182_1.fastq.gz	182_2.fastq.gz	DE18INS60510_349	PB-MW	A_B1_MW	A_B1	28.3	7.8	138	0	Greece	Athens	Summer2017	2017-07	Public_building	MW
183	183_1.fastq.gz	183_2.fastq.gz	DE18INS60510_349	PB-Bb	A_B1_BB	A_B1	52.5	NA	NA	1	Greece	Athens	Summer2017	2017-07	Public_building	BB
184	184_1.fastq.gz	184_2.fastq.gz	DE18INS60510_349	PB-HRW	A_B1_HRW	A_B1	23.6	NA	NA	0	Greece	Athens	Summer2017	2017-07	Public_building	HRW
185	185_1.fastq.gz	185_2.fastq.gz	DE18INS60510_349	PB_FPB	A_B1_FPB	A_B1	23.7	7.9	138	0	Greece	Athens	Summer2017	2017-07	Public_building	FPB
191	191_1.fastq.gz	191_2.fastq.gz	DE18INS60510_349	H-FPB	A_B2_FPB	A_B2	55.9	7.9	144	0	Greece	Athens	Summer2017	2017-07	Hotel	FPB
192	192_1.fastq.gz	192_2.fastq.gz	DE18INS60510_349	HO-MW	A_B3_MW	A_B3	21.8	8	142	0	Greece	Athens	Summer2017	2017-07	Hospital	MW
193	193_1.fastq.gz	193_2.fastq.gz	DE18INS60510_349	HO-Bb	A_B3_BB	A_B3	44.4	NA	NA	5	Greece	Athens	Summer2017	2017-07	Hospital	BB
194	194_1.fastq.gz	194_2.fastq.gz	DE18INS60510_349	HO-HRW	A_B3_HRW	A_B3	46.7	NA	NA	500	Greece	Athens	Summer2017	2017-07	Hospital	HRW
195	195_1.fastq.gz	195_2.fastq.gz	DE18INS60510_349	HO_FPB	A_B3_FPB	A_B3	38.1	7.9	144	12.5	Greece	Athens	Summer2017	2017-07	Hospital	FPB
218	218_1.fastq.gz	218_2.fastq.gz	DE18INS60510_349	PB-MW	A_B1_MW	A_B1	16.2	8	132	0	Greece	Athens	Autumn2017	2017-10	Public_building	MW
219	219_1.fastq.gz	219_2.fastq.gz	DE18INS60510_349	PB-Bb	A_B1_BB	A_B1	40.2	NA	NA	59	Greece	Athens	Autumn2017	2017-10	Public_building	BB
220	220_1.fastq.gz	220_2.fastq.gz	DE18INS60510_349	PB-HRW	A_B1_HRW	A_B1	20.6	NA	NA	1	Greece	Athens	Autumn2017	2017-10	Public_building	HRW
221	221_1.fastq.gz	221_2.fastq.gz	DE18INS60510_349	PB_FPB	A_B1_FPB	A_B1	39	8	132	4	Greece	Athens	Autumn2017	2017-10	Public_building	FPB
226	226_1.fastq.gz	226_2.fastq.gz	DE18INS60510_349	HO-MW	A_B3_MW	A_B3	13.3	7.6	144	0	Greece	Athens	Autumn2017	2017-10	Hospital	MW
227	227_1.fastq.gz	227_2.fastq.gz	DE18INS60510_349	HO-Bb	A_B3_BB	A_B3	46.1	NA	NA	9	Greece	Athens	Autumn2017	2017-10	Hospital	BB
228	228_1.fastq.gz	228_2.fastq.gz	DE18INS60510_349	HO-HRW	A_B3_HRW	A_B3	16.9	NA	NA	5.5	Greece	Athens	Autumn2017	2017-10	Hospital	HRW
229	229_1.fastq.gz	229_2.fastq.gz	DE18INS60510_349	HO_FPB	A_B3_FPB	A_B3	41.9	7.6	140	6.5	Greece	Athens	Autumn2017	2017-10	Hospital	FPB
9.2018	9.2018_1.fastq.gz	9.2018_2.fastq.gz	DE18INS60510_349	PB-MW	A_B1_MW	A_B1	16.8	7.8	138	0	Greece	Athens	Winter2018	2018-01	Public_building	MW
10.2018	10.2018_1.fastq.gz	10.2018_2.fastq.gz	DE18INS60510_349	PB-Bb	A_B1_BB	A_B1	44.5	NA	NA	25.5	Greece	Athens	Winter2018	2018-01	Public_building	BB
11.2018	11.2018_1.fastq.gz	11.2018_2.fastq.gz	DE18INS60510_349	PB-HRW	A_B1_HRW	A_B1	22	NA	NA	5.5	Greece	Athens	Winter2018	2018-01	Public_building	HRW
12.2018	12.2018_1.fastq.gz	12.2018_2.fastq.gz	DE18INS60510_349	PB_FPB	A_B1_FPB	A_B1	41	7.8	136	122.5	Greece	Athens	Winter2018	2018-01	Public_building	FPB
8.2018	8.2018_1.fastq.gz	8.2018_2.fastq.gz	DE18INS60510_349	H-FPB	A_B2_FPB	A_B2	60	7.6	146	0	Greece	Athens	Winter2018	2018-01	Hotel	FPB
1.2018	1.2018_1.fastq.gz	1.2018_2.fastq.gz	DE18INS60510_349	HO-MW	A_B3_MW	A_B3	13.6	7.5	142	0	Greece	Athens	Winter2018	2018-01	Hospital	MW
3.2018	3.2018_1.fastq.gz	3.2018_2.fastq.gz	DE18INS60510_349	HO-HRW	A_B3_HRW	A_B3	38.2	NA	NA	9.5	Greece	Athens	Winter2018	2018-01	Hospital	HRW
4.2018	4.2018_1.fastq.gz	4.2018_2.fastq.gz	DE18INS60510_349	HO_FPB	A_B3_FPB	A_B3	35.1	7.6	142	14.5	Greece	Athens	Winter2018	2018-01	Hospital	FPB
45	45.V3V4_1.fastq.gz	45.V3V4_2.fastq.gz	M01607_357	PB-MW	A_B1_MW	A_B1	21	7.8	138	0	Greece	Athens	Spring2018	2018-04	Public_building	MW
46	46.V3V4_1.fastq.gz	46.V3V4_2.fastq.gz	M01607_357	PB-Bb	A_B1_BB	A_B1	54	NA	NA	13.5	Greece	Athens	Spring2018	2018-04	Public_building	BB
47	47.V3V4_1.fastq.gz	47.V3V4_2.fastq.gz	M01607_357	PB-HRW	A_B1_HRW	A_B1	45	NA	NA	14.5	Greece	Athens	Spring2018	2018-04	Public_building	HRW
48	48.V3V4_1.fastq.gz	48.V3V4_2.fastq.gz	M01607_357	PB_FPB	A_B1_FPB	A_B1	49.5	7.8	136	25	Greece	Athens	Spring2018	2018-04	Public_building	FPB
